3033 60.0 66.0 61.0 29 1
3034 61.0 67.0 62.0 28 2
3035 62.0 68.0 63.0 27 3
3036 63.0 69.0 64.0 26 4
3037 64.0 70.0 65.0 25 5
3038 65.0 71.0 66.0 24 6
3039 66.0 72.0 67.0 23 7
3040 67.0 73.0 68.0 22 8
3041 68.0 74.0 69.0 21 9
3042 69.0 75.0 70.0 21 10
3043 70.0 76.0 71.0 21 11
3044 71.0 77.0 72.0 21 12
3045 72.0 78.0 73.0 21 13
3046 73.0 79.0 74.0 21 14
3047 74.0 80.0 75.0 21 15
3048 75.0 81.0 76.0 21 16
3049 76.0 82.0 77.0 21 17
3050 77.0 83.0 78.0 21 18
3051 78.0 84.0 79.0 21 19
3052 79.0 85.0 80.0 21 20
3053 80.0 86.0 81.0 21 21
3054 81.0 87.0 82.0 21 22
3055 82.0 88.0 83.0 21 23
3056 83.0 89.0 84.0 21 24
3057 84.0 90.0 85.0 21 25
3058 85.0 91.0 86.0 21 26
3059 86.0 92.0 87.0 21 27
3060 87.0 93.0 88.0 21 28
3061 88.0 94.0 89.0 21 29
3062 89.0 95.0 90.0 21 30
3063 90.0 96.0 91.0 21 31
3064 91.0 97.0 92.0 21 32
3065 92.0 98.0 93.0 21 33
3066 93.0 99.0 94.0 21 34
3067 94.0 100.0 95.0 21 35
3068 95.0 101.0 96.0 21 36
3069 96.0 102.0 97.0 21 37
3070 97.0 103.0 98.0 21 38
3071 98.0 104.0 99.0 21 39
3072 99.0 105.0 100.0 21 40
3073 70.0 71.0 71.0 49 21
3074 71.0 72.0 72.0 48 22
3075 72.0 73.0 73.0 47 23
3076 73.0 74.0 74.0 46 24
3077 74.0 75.0 75.0 45 25
3078 75.0 76.0 76.0 44 26
3079 76.0 77.0 77.0 43 27
3080 77.0 78.0 78.0 42 28
3081 78.0 79.0 79.0 41 29
3082 79.0 80.0 80.0 40 30
3083 80.0 81.0 81.0 39 31
3084 81.0 82.0 82.0 38 32
3085 82.0 83.0 83.0 37 33
3086 83.0 84.0 84.0 36 34
3087 84.0 85.0 85.0 35 35
3088 85.0 86.0 86.0 34 36
3089 86.0 87.0 87.0 33 37
3090 87.0 88.0 88.0 32 38
3091 88.0 89.0 89.0 31 39
3092 89.0 90.0 90.0 30 40
3093 90.0 91.0 91.0 29 41
3094 91.0 92.0 92.0 28 42
3095 92.0 93.0 93.0 27 43
3096 93.0 94.0 94.0 26 44
3097 94.0 95.0 95.0 25 45
3098 95.0 96.0 96.0 24 46
3099 96.0 97.0 97.0 23 47
3100 97.0 98.0 98.0 22 48
3101 98.0 99.0 99.0 21 49
3102 99.0 100.0 100.0 21 50
3160 76.0 88.0 69.2 25 0
